District_Name,Crop_Year,Season,Crop,Area,Production,pH_min,pH_max,pH_Req,pH_min_Range,pH_max_Range,min_temp,max_temp,min_rainfall,max_rainfall
1,2005,2,9,4900,2400,7,7.5,6.4,5.5,7,21,30,40,125
1,2005,2,4,8700,2400,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2005,2,5,800,400,7,7.5,6.2,5.5,7,16,27,100,200
1,2005,2,6,56600,4395300,7,7.5,6.5,5,8.5,25,35,100,170
1,2005,2,10,10100,5900,7,7.5,6.8,6,7.5,20,35,40,70
1,2005,3,10,2500,1000,7,7.5,6.8,6,7.5,20,35,40,70
1,2005,3,7,103100,153800,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2005,4,9,9500,16200,7,7.5,6.4,5.5,7,21,30,40,125
1,2005,4,10,100,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2006,2,2,243900,148900,7,7.5,6.3,6,7,20,28,40,75
1,2006,2,8,20600,36500,7,7.5,6,5.8,8,20,28,55,120
1,2006,2,9,6100,4800,7,7.5,6.4,5.5,7,21,30,40,125
1,2006,2,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
1,2006,2,1,17900,42400,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2006,2,4,16700,9900,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2006,2,5,8400,6600,7,7.5,6.2,5.5,7,16,27,100,200
1,2006,2,10,11800,6000,7,7.5,6.8,6,7.5,20,35,40,70
1,2006,3,3,528400,274000,7,7.5,6.4,6,7.5,24,32,37,90
1,2006,3,1,15300,20000,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2006,3,10,2800,1100,7,7.5,6.8,6,7.5,20,35,40,70
1,2006,3,7,153900,248100,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2006,4,9,8300,13100,7,7.5,6.4,5.5,7,21,30,40,125
1,2006,4,1,1200,1800,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2006,4,10,100,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2007,2,2,2326,1741,7,7.5,6.3,6,7,20,28,40,75
1,2007,2,8,400,821,7,7.5,6,5.8,8,20,28,55,120
1,2007,2,9,61,54,7,7.5,6.4,5.5,7,21,30,40,125
1,2007,2,3,1,1,7,7.5,6.4,6,7.5,24,32,37,90
1,2007,2,1,236,735,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2007,2,4,210,144,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2007,2,5,86,102,7,7.5,6.2,5.5,7,16,27,100,200
1,2007,2,10,94,69,7,7.5,6.8,6,7.5,20,35,40,70
1,2007,3,3,5034,2840,7,7.5,6.4,6,7.5,24,32,37,90
1,2007,3,1,125,274,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2007,3,10,25,29,7,7.5,6.8,6,7.5,20,35,40,70
1,2007,3,7,1309,2711,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2007,4,9,26,40,7,7.5,6.4,5.5,7,21,30,40,125
1,2007,4,1,11,16,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2007,4,10,1,1,7,7.5,6.8,6,7.5,20,35,40,70
1,2007,5,6,1333,103974,7,7.5,6.5,5,8.5,25,35,100,170
1,2008,2,2,128200,92400,7,7.5,6.3,6,7,20,28,40,75
1,2008,2,8,59300,93300,7,7.5,6,5.8,8,20,28,55,120
1,2008,2,9,2600,2200,7,7.5,6.4,5.5,7,21,30,40,125
1,2008,2,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
1,2008,2,1,22100,69500,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2008,2,4,600,100,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2008,2,5,9300,9100,7,7.5,6.2,5.5,7,16,27,100,200
1,2008,2,6,77500,5564800,7,7.5,6.5,5,8.5,25,35,100,170
1,2008,2,10,3900,2100,7,7.5,6.8,6,7.5,20,35,40,70
1,2008,3,3,507200,327800,7,7.5,6.4,6,7.5,24,32,37,90
1,2008,3,1,102,280,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2008,3,10,2500,1700,7,7.5,6.8,6,7.5,20,35,40,70
1,2008,3,7,138200,219200,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2008,5,6,77500,5564800,7,7.5,6.5,5,8.5,25,35,100,170
1,2009,2,2,190700,115400,7,7.5,6.3,6,7,20,28,40,75
1,2009,2,8,82700,125100,7,7.5,6,5.8,8,20,28,55,120
1,2009,2,9,3600,2700,7,7.5,6.4,5.5,7,21,30,40,125
1,2009,2,1,38500,110300,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2009,2,4,12800,7800,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2009,2,5,7400,2800,7,7.5,6.2,5.5,7,16,27,100,200
1,2009,2,6,75600,6339000,7,7.5,6.5,5,8.5,25,35,100,170
1,2009,2,10,7500,2500,7,7.5,6.8,6,7.5,20,35,40,70
1,2009,3,3,520500,350600,7,7.5,6.4,6,7.5,24,32,37,90
1,2009,3,1,11600,26000,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2009,3,10,2200,1200,7,7.5,6.8,6,7.5,20,35,40,70
1,2009,3,7,129500,216000,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2010,2,2,196000,186800,7,7.5,6.3,6,7,20,28,40,75
1,2010,2,8,101700,221100,7,7.5,6,5.8,8,20,28,55,120
1,2010,2,9,4200,3600,7,7.5,6.4,5.5,7,21,30,40,125
1,2010,2,1,45300,139500,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2010,2,4,15900,12400,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2010,2,5,7500,7000,7,7.5,6.2,5.5,7,16,27,100,200
1,2010,2,6,126000,11516400,7,7.5,6.5,5,8.5,25,35,100,170
1,2010,2,10,8200,3400,7,7.5,6.8,6,7.5,20,35,40,70
1,2010,3,3,540000,318000,7,7.5,6.4,6,7.5,24,32,37,90
1,2010,3,1,13200,26300,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2010,3,10,1000,800,7,7.5,6.8,6,7.5,20,35,40,70
1,2010,3,7,133700,248900,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2011,2,2,184700,179500,7,7.5,6.3,6,7,20,28,40,75
1,2011,2,8,112000,238100,7,7.5,6,5.8,8,20,28,55,120
1,2011,2,9,4500,3300,7,7.5,6.4,5.5,7,21,30,40,125
1,2011,2,1,46300,125500,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2011,2,4,6400,1700,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2011,2,5,7900,7800,7,7.5,6.2,5.5,7,16,27,100,200
1,2011,2,10,3200,1500,7,7.5,6.8,6,7.5,20,35,40,70
1,2011,3,3,434600,123200,7,7.5,6.4,6,7.5,24,32,37,90
1,2011,3,1,9200,22600,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2011,3,10,400,200,7,7.5,6.8,6,7.5,20,35,40,70
1,2011,3,7,48100,88700,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2011,4,9,6800,10500,7,7.5,6.4,5.5,7,21,30,40,125
1,2011,4,10,100,100,7,7.5,6.8,6,7.5,20,35,40,70
1,2011,5,6,129500,11879200,7,7.5,6.5,5,8.5,25,35,100,170
1,2012,2,2,160500,55400,7,7.5,6.3,6,7,20,28,40,75
1,2012,2,8,96200,88100,7,7.5,6,5.8,8,20,28,55,120
1,2012,2,9,4200,2400,7,7.5,6.4,5.5,7,21,30,40,125
1,2012,2,1,45000,91900,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2012,2,4,5700,600,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2012,2,5,7500,4600,7,7.5,6.2,5.5,7,16,27,100,200
1,2012,2,10,1400,500,7,7.5,6.8,6,7.5,20,35,40,70
1,2012,3,3,444800,67000,7,7.5,6.4,6,7.5,24,32,37,90
1,2012,3,1,14700,24800,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2012,3,10,200,50,7,7.5,6.8,6,7.5,20,35,40,70
1,2012,3,7,38900,46100,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2012,4,9,1000,1200,7,7.5,6.4,5.5,7,21,30,40,125
1,2012,4,1,200,200,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2012,5,6,115500,8235700,7,7.5,6.5,5,8.5,25,35,100,170
1,2013,2,2,181800,188200,7,7.5,6.3,6,7,20,28,40,75
1,2013,2,8,104700,222400,7,7.5,6,5.8,8,20,28,55,120
1,2013,2,9,4700,3700,7,7.5,6.4,5.5,7,21,30,40,125
1,2013,2,1,61000,296900,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2013,2,4,5700,4800,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2013,2,5,7900,19000,7,7.5,6.2,5.5,7,16,27,100,200
1,2013,2,10,1300,800,7,7.5,6.8,6,7.5,20,35,40,70
1,2013,3,3,503900,354500,7,7.5,6.4,6,7.5,24,32,37,90
1,2013,3,1,20900,59300,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2013,3,7,51900,100700,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2013,4,9,1500,2400,7,7.5,6.4,5.5,7,21,30,40,125
1,2013,4,1,1000,1500,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2013,5,6,110800,9643600,7,7.5,6.5,5,8.5,25,35,100,170
1,2014,2,2,186000,107700,7,7.5,6.3,6,7,20,28,40,75
1,2014,2,8,102600,96700,7,7.5,6,5.8,8,20,28,55,120
1,2014,2,9,4300,2800,7,7.5,6.4,5.5,7,21,30,40,125
1,2014,2,1,68100,176100,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2014,2,4,5600,3200,7,7.5,6.6,6.2,7.2,25,25,78,100
1,2014,2,5,8600,2200,7,7.5,6.2,5.5,7,16,27,100,200
1,2014,2,10,800,400,7,7.5,6.8,6,7.5,20,35,40,70
1,2014,3,3,443600,279800,7,7.5,6.4,6,7.5,24,32,37,90
1,2014,3,1,29400,57600,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2014,3,7,57200,85000,7,7.5,5.8,5.5,6.5,14,25,47,103
1,2014,4,9,1600,2300,7,7.5,6.4,5.5,7,21,30,40,125
1,2014,4,1,200,400,7,7.5,6.4,5.8,6.8,18,27,45,100
1,2014,5,6,122000,11761000,7,7.5,6.5,5,8.5,25,35,100,170
2,1997,2,2,5600,2400,7,7.5,6.3,6,7,20,28,40,75
2,1997,2,3,193600,290100,7,7.5,6.4,6,7.5,24,32,37,90
2,1997,2,1,700,800,7,7.5,6.4,5.8,6.8,18,27,45,100
2,1997,2,4,119400,43100,7,7.5,6.6,6.2,7.2,25,25,78,100
2,1997,2,5,2900,1600,7,7.5,6.2,5.5,7,16,27,100,200
2,1997,3,3,3400,900,7,7.5,6.4,6,7.5,24,32,37,90
2,1997,3,7,20900,21800,7,7.5,5.8,5.5,6.5,14,25,47,103
2,1997,5,8,3582,183400,7,7.5,6,5.8,8,20,28,55,120
2,1998,2,2,5600,2900,7,7.5,6.3,6,7,20,28,40,75
2,1998,2,8,360300,246500,7,7.5,6,5.8,8,20,28,55,120
2,1998,2,9,1600,1100,7,7.5,6.4,5.5,7,21,30,40,125
2,1998,2,3,165800,244000,7,7.5,6.4,6,7.5,24,32,37,90
2,1998,2,1,400,800,7,7.5,6.4,5.8,6.8,18,27,45,100
2,1998,2,4,121400,93600,7,7.5,6.6,6.2,7.2,25,25,78,100
2,1998,2,5,2900,2000,7,7.5,6.2,5.5,7,16,27,100,200
2,1998,2,6,1500,124400,7,7.5,6.5,5,8.5,25,35,100,170
2,1998,2,10,2900,900,7,7.5,6.8,6,7.5,20,35,40,70
2,1998,3,3,1100,400,7,7.5,6.4,6,7.5,24,32,37,90
2,1998,3,1,100,100,7,7.5,6.4,5.8,6.8,18,27,45,100
2,1998,3,10,11200,5500,7,7.5,6.8,6,7.5,20,35,40,70
2,1998,3,7,25800,31600,7,7.5,5.8,5.5,6.5,14,25,47,103
2,1998,4,9,2300,2000,7,7.5,6.4,5.5,7,21,30,40,125
2,1998,4,10,1200,1200,7,7.5,6.8,6,7.5,20,35,40,70
2,1999,2,2,2300,1200,7,7.5,6.3,6,7,20,28,40,75
2,1999,2,8,239600,234100,7,7.5,6,5.8,8,20,28,55,120
2,1999,2,9,200,100,7,7.5,6.4,5.5,7,21,30,40,125
2,1999,2,3,87800,133500,7,7.5,6.4,6,7.5,24,32,37,90
2,1999,2,1,100,100,7,7.5,6.4,5.8,6.8,18,27,45,100
2,1999,2,4,56700,32100,7,7.5,6.6,6.2,7.2,25,25,78,100
2,1999,2,10,2300,900,7,7.5,6.8,6,7.5,20,35,40,70
2,1999,3,10,2800,1600,7,7.5,6.8,6,7.5,20,35,40,70
2,1999,3,7,12400,20900,7,7.5,5.8,5.5,6.5,14,25,47,103
2,1999,4,9,1700,2300,7,7.5,6.4,5.5,7,21,30,40,125
2,1999,4,10,1100,2000,7,7.5,6.8,6,7.5,20,35,40,70
2,1999,5,6,200,18300,7,7.5,6.5,5,8.5,25,35,100,170
2,2000,2,2,2500,1500,7,7.5,6.3,6,7,20,28,40,75
2,2000,2,8,227800,155500,7,7.5,6,5.8,8,20,28,55,120
2,2000,2,9,200,100,7,7.5,6.4,5.5,7,21,30,40,125
2,2000,2,3,86100,142500,7,7.5,6.4,6,7.5,24,32,37,90
2,2000,2,1,200,200,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2000,2,4,59400,23800,7,7.5,6.6,6.2,7.2,25,25,78,100
2,2000,2,10,2600,1300,7,7.5,6.8,6,7.5,20,35,40,70
2,2000,3,3,200,100,7,7.5,6.4,6,7.5,24,32,37,90
2,2000,3,10,1900,1100,7,7.5,6.8,6,7.5,20,35,40,70
2,2000,3,7,9700,13800,7,7.5,5.8,5.5,6.5,14,25,47,103
2,2000,4,9,1400,1000,7,7.5,6.4,5.5,7,21,30,40,125
2,2000,4,10,400,500,7,7.5,6.8,6,7.5,20,35,40,70
2,2000,5,6,600,48800,7,7.5,6.5,5,8.5,25,35,100,170
2,2001,2,2,2300,800,7,7.5,6.3,6,7,20,28,40,75
2,2001,2,8,231400,194900,7,7.5,6,5.8,8,20,28,55,120
2,2001,2,3,85200,121100,7,7.5,6.4,6,7.5,24,32,37,90
2,2001,2,1,400,1000,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2001,2,4,60000,32700,7,7.5,6.6,6.2,7.2,25,25,78,100
2,2001,2,10,1700,600,7,7.5,6.8,6,7.5,20,35,40,70
2,2001,3,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
2,2001,3,10,1000,500,7,7.5,6.8,6,7.5,20,35,40,70
2,2001,3,7,10100,15500,7,7.5,5.8,5.5,6.5,14,25,47,103
2,2001,4,9,1400,1600,7,7.5,6.4,5.5,7,21,30,40,125
2,2001,4,10,400,700,7,7.5,6.8,6,7.5,20,35,40,70
2,2001,5,6,600,44100,7,7.5,6.5,5,8.5,25,35,100,170
2,2002,2,2,2400,1600,7,7.5,6.3,6,7,20,28,40,75
2,2002,2,8,222900,224600,7,7.5,6,5.8,8,20,28,55,120
2,2002,2,3,83100,162500,7,7.5,6.4,6,7.5,24,32,37,90
2,2002,2,1,500,1000,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2002,2,4,64300,26100,7,7.5,6.6,6.2,7.2,25,25,78,100
2,2002,2,10,1500,800,7,7.5,6.8,6,7.5,20,35,40,70
2,2002,3,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
2,2002,3,10,1000,500,7,7.5,6.8,6,7.5,20,35,40,70
2,2002,3,7,10300,15800,7,7.5,5.8,5.5,6.5,14,25,47,103
2,2002,4,9,900,1800,7,7.5,6.4,5.5,7,21,30,40,125
2,2002,4,10,600,600,7,7.5,6.8,6,7.5,20,35,40,70
2,2002,5,6,400,28000,7,7.5,6.5,5,8.5,25,35,100,170
2,2003,2,2,1900,900,7,7.5,6.3,6,7,20,28,40,75
2,2003,2,8,217700,199000,7,7.5,6,5.8,8,20,28,55,120
2,2003,2,9,100,100,7,7.5,6.4,5.5,7,21,30,40,125
2,2003,2,3,82300,161300,7,7.5,6.4,6,7.5,24,32,37,90
2,2003,2,1,700,1500,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2003,2,4,64300,30100,7,7.5,6.6,6.2,7.2,25,25,78,100
2,2003,2,10,1100,400,7,7.5,6.8,6,7.5,20,35,40,70
2,2003,3,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
2,2003,3,1,100,100,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2003,3,10,1000,400,7,7.5,6.8,6,7.5,20,35,40,70
2,2003,3,7,8700,12300,7,7.5,5.8,5.5,6.5,14,25,47,103
2,2003,4,9,700,700,7,7.5,6.4,5.5,7,21,30,40,125
2,2003,4,10,500,400,7,7.5,6.8,6,7.5,20,35,40,70
2,2003,5,6,800,48000,7,7.5,6.5,5,8.5,25,35,100,170
2,2004,2,2,1400,600,7,7.5,6.3,6,7,20,28,40,75
2,2004,2,3,82200,108300,7,7.5,6.4,6,7.5,24,32,37,90
2,2004,2,1,600,700,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2004,2,4,62000,13500,7,7.5,6.6,6.2,7.2,25,25,78,100
2,2004,2,10,1500,600,7,7.5,6.8,6,7.5,20,35,40,70
2,2004,3,3,100,100,7,7.5,6.4,6,7.5,24,32,37,90
2,2004,3,1,100,100,7,7.5,6.4,5.8,6.8,18,27,45,100
2,2004,3,10,1100,600,7,7.5,6.8,6,7.5,20,35,40,70
2,2004,3,7,3400,3800,7,7.5,5.8,5.5,6.5,14,25,47,103
2,2004,4,9,500,300,7,7.5,6.4,5.5,7,21,30,40,125
2,2004,4,10,400,300,7,7.5,6.8,6,7.5,20,35,40,70
2,2004,5,8,207600,137800,7,7.5,6,5.8,8,20,28,55,120
2,2004,5,6,500,19200,7,7.5,6.5,5,8.5,25,35,100,170
2,2005,2,2,1400,700,7,7.5,6.3,6,7,20,28,40,75
